T/Tc	Delta/kBTc
1e-07	1.7654027195432083
0.010101108080808082	1.7654027195432034
0.020202116161616164	1.765402719543205
0.030303124242424245	1.7654027195432038
0.04040413232323233	1.7654027195432065
0.050505140404040416	1.7654027195432054
0.06060614848484849	1.7654027195430206
0.07070715656565658	1.7654027195305457
0.08080816464646466	1.7654027192365858
0.09090917272727274	1.7654027158611045
0.10101018080808083	1.7654026925003266
0.1111111888888889	1.7654025807113383
0.12121219696969698	1.7654021748896742
0.13131320505050506	1.7654009826377342
0.14141421313131317	1.765398013667294
0.15151522121212124	1.7653915304082757
0.16161622929292932	1.765378796348013
0.1717172373737374	1.7653558591943321
0.18181824545454547	1.765317397352142
0.19191925353535358	1.7652566448622882
0.20202026161616166	1.7651653965617327
0.21212126969696973	1.7650340847514512
0.2222222777777778	1.764851912237344
0.2323232858585859	1.7646070239849037
0.24242429393939396	1.7642867000290476
0.25252530202020207	1.7638775544765621
0.2626263101010101	1.7633657286236444
0.2727273181818182	1.7627370695723665
0.28282832626262633	1.7619772888441776
0.2929293343434344	1.7610720981036292
0.3030303424242425	1.7600073211364011
0.31313135050505053	1.758768982689171
0.32323235858585864	1.7573433757467896
0.33333336666666674	1.7557171093887491
0.3434343747474748	1.753877139628702
0.3535353828282829	1.7518107856844178
0.36363639090909095	1.7495057340231768
0.37373739898989905	1.7469500323357434
0.38383840707070715	1.7441320753523877
0.3939394151515152	1.7410405841567653
0.4040404232323233	1.7376645803975592
0.41414143131313136	1.733993356555651
0.42424243939393946	1.730016443203503
0.43434344747474757	1.7257235739961634
0.4444444555555556	1.72110464896011
0.4545454636363637	1.716149696496517
0.46464647171717177	1.7108488343865995
0.4747474797979799	1.7051922299764373
0.4848484878787879	1.6991700596242045
0.49494949595959603	1.6927724674101814
0.5050505040404041	1.6859895230399016
0.5151515121212121	1.678811178805205
0.5252525202020202	1.6712272254104372
0.5353535282828283	1.6632272464149969
0.5454545363636364	1.6548005709888525
0.5555555444444444	1.6459362246215978
0.5656565525252526	1.6366228773664462
0.5757575606060606	1.6268487891355574
0.5858585686868687	1.6166017514903734
0.5959595767676769	1.6058690252871959
0.6060605848484849	1.5946372734408916
0.616161592929293	1.5828924879551394
0.626262601010101	1.5706199102312046
0.6363636090909092	1.5578039435033153
0.6464646171717172	1.5444280560511847
0.6565656252525253	1.5304746735996861
0.6666666333333334	1.5159250590218616
0.6767676414141415	1.5007591771001625
0.6868686494949495	1.4849555416539746
0.6969696575757576	1.468491041785411
0.7070706656565657	1.4513407432990173
0.7171716737373738	1.4334776604728126
0.7272726818181818	1.4148724922429359
0.73737368989899	1.395493315435532
0.747474697979798	1.3753052258367806
0.7575757060606061	1.3542699154897857
0.7676767141414143	1.3323451714481938
0.7777777222222223	1.309484277017358
0.7878787303030304	1.2856352908682462
0.7979797383838384	1.2607401717254603
0.8080807464646466	1.2347337057311836
0.8181817545454546	1.2075421787496512
0.8282827626262627	1.1790817147717172
0.8383837707070708	1.149256171021653
0.8484847787878789	1.117954435331767
0.8585857868686869	1.085046902608463
0.8686867949494951	1.050380804205569
0.8787878030303031	1.0137738920422186
0.8888888111111112	0.9750057103913254
0.8989898191919192	0.9338052165380598
0.9090908272727274	0.8898326850786991
0.9191918353535354	0.8426522851826338
0.9292928434343435	0.7916886645792033
0.9393938515151516	0.7361543750623089
0.9494948595959597	0.6749198335357586
0.9595958676767677	0.6062578002528642
0.9696968757575758	0.5272718330697426
0.979797883838384	0.43233686119607523
0.989898891919192	0.3069926774697318
0.9999999	0.0009699515789379791
