T/T_c	C_s/C_n
1e-07	0.0
0.010101108080808082	0.021174169842116248
0.020202116161616164	0.04234862227445013
0.030303124242424245	0.06352461704525267
0.04040413232323233	0.08470404020915367
0.050505140404040416	0.10588950300389859
0.06060614848484849	0.12708436774942353
0.07070715656565658	0.1482927529269616
0.08080816464646466	0.1695195411962769
0.09090917272727274	0.1907703908361277
0.10101018080808083	0.21205174718557357
0.1111111888888889	0.23337085392025142
0.12121219696969698	0.2547357335103204
0.13131320505050506	0.2761551060891817
0.14141421313131317	0.2976381908551227
0.15151522121212124	0.31919435626491927
0.16161622929292932	0.34083261984492325
0.1717172373737374	0.36256103505408044
0.18181824545454547	0.3843860428214615
0.19191925353535358	0.40631187422055765
0.20202026161616166	0.42834007020342574
0.21212126969696973	0.45046917226440053
0.2222222777777778	0.4726946012416928
0.2323232858585859	0.49500871791057044
0.24242429393939396	0.5174010401124489
0.25252530202020207	0.5398585795583811
0.2626263101010101	0.5623662581866576
0.2727273181818182	0.584907366644448
0.28282832626262633	0.6074640312012006
0.2929293343434344	0.6300176635092747
0.3030303424242425	0.6525493750016562
0.31313135050505053	0.6750403431367809
0.32323235858585864	0.6974721236838568
0.33333336666666674	0.7198269082316195
0.3434343747474748	0.742087726348097
0.3535353828282829	0.764238597784986
0.36363639090909095	0.7862646410052798
0.37373739898989905	0.8081521390590379
0.38383840707070715	0.8298885760073303
0.3939394151515152	0.8514626430765248
0.4040404232323233	0.8728642237658283
0.41414143131313136	0.8940843614937106
0.42424243939393946	0.9151152141894453
0.43434344747474757	0.9359499994907307
0.4444444555555556	0.9565829335920704
0.4545454636363637	0.9770091661901995
0.46464647171717177	0.9972247137190111
0.4747474797979799	1.0172263921117994
0.4848484878787879	1.0370117509116363
0.49494949595959603	1.0565790089479095
0.5050505040404041	1.075926992852904
0.5151515121212121	1.095055078559219
0.5252525202020202	1.1139631361711995
0.5353535282828283	1.132651478362701
0.5454545363636364	1.1511208123774341
0.5555555444444444	1.1693721955846073
0.5656565525252526	1.187406994530731
0.5757575606060606	1.2052268473757435
0.5858585686868687	1.2228336295301256
0.5959595767676769	1.240229422340687
0.6060605848484849	1.2574164846427953
0.616161592929293	1.2743972269841055
0.626262601010101	1.291174188331859
0.6363636090909092	1.3077500150713859
0.6464646171717172	1.3241274421258582
0.6565656252525253	1.3403092760446755
0.6666666333333334	1.3562983797953212
0.6767676414141415	1.3720976592539702
0.6868686494949495	1.3877100523120838
0.6969696575757576	1.4031385126512026
0.7070706656565657	1.418386010616072
0.7171716737373738	1.433455515505516
0.7272726818181818	1.4483499918150682
0.73737368989899	1.4630723926725098
0.747474697979798	1.4776256539178703
0.7575757060606061	1.4920126892211607
0.7676767141414143	1.506236385726883
0.7777777222222223	1.5202996004304359
0.7878787303030304	1.5342051569533115
0.7979797383838384	1.5479558430017608
0.8080807464646466	1.5615544078518058
0.8181817545454546	1.5750035607068171
0.8282827626262627	1.5883059690655301
0.8383837707070708	1.6014642574135547
0.8484847787878789	1.6144810063801032
0.8585857868686869	1.6273587518222383
0.8686867949494951	1.6400999843615676
0.8787878030303031	1.6527071492345513
0.8888888111111112	1.6651826457376313
0.8989898191919192	1.6775288275653932
0.9090908272727274	1.6897480026267049
0.9191918353535354	1.7018424332896487
0.9292928434343435	1.7138143368520051
0.9393938515151516	1.725665885716111
0.9494948595959597	1.7373992079304998
0.9595958676767677	1.7490163876851232
0.9696968757575758	1.7605194658778314
0.979797883838384	1.7719104407228534
0.989898891919192	1.783191268395993
0.9999999	1.78882527058663
