T/T_c	Y(T)
1e-07	0.0
0.010101108080808082	8.13710875674254e-05
0.020202116161616164	0.0003255926635959423
0.030303124242424245	0.0007330013095706054
0.04040413232323233	0.0013041646924888133
0.050505140404040416	0.002039891969432107
0.06060614848484849	0.002941249188469028
0.07070715656565658	0.004009580650924479
0.08080816464646466	0.005246537994275446
0.09090917272727274	0.006654120084761316
0.10101018080808083	0.008234729227963483
0.1111111888888889	0.009991250511871124
0.12121219696969698	0.011927157187923481
0.13131320505050506	0.01404663361861711
0.14141421313131317	0.0163546933437355
0.15151522121212124	0.018857261586751908
0.16161622929292932	0.02156119411403806
0.1717172373737374	0.024474216248206945
0.18181824545454547	0.027604781586077116
0.19191925353535358	0.03096186395740019
0.20202026161616166	0.03455470504868884
0.21212126969696973	0.03839254317091802
0.2222222777777778	0.042484346912989544
0.2323232858585859	0.04683857268093916
0.24242429393939396	0.05146295912148316
0.25252530202020207	0.05636436549492124
0.2626263101010101	0.06154865600329251
0.2727273181818182	0.06702062825460366
0.28282832626262633	0.07278398141143283
0.2929293343434344	0.07884131836083076
0.3030303424242425	0.08519417519983408
0.31313135050505053	0.09184307199768876
0.32323235858585864	0.09878757880329575
0.33333336666666674	0.10602639181964668
0.3434343747474748	0.11355741541878554
0.3535353828282829	0.1213778464950327
0.36363639090909095	0.1294842584268347
0.37373739898989905	0.13787268259847268
0.38383840707070715	0.1465386860168743
0.3939394151515152	0.15547744404172917
0.4040404232323233	0.1646838076346694
0.41414143131313136	0.1741523648362802
0.42424243939393946	0.1838774964096158
0.43434344747474757	0.19385342575778125
0.4444444555555556	0.20407426334227063
0.4545454636363637	0.21453404590904623
0.46464647171717177	0.22522677087651571
0.4747474797979799	0.2361464262673581
0.4848484878787879	0.2472870165735937
0.49494949595959603	0.2586425849346027
0.5050505040404041	0.27020723200488084
0.5151515121212121	0.28197513185773626
0.5252525202020202	0.2939405452545228
0.5353535282828283	0.3060978305837876
0.5454545363636364	0.31844145274593094
0.5555555444444444	0.3309659902375532
0.5656565525252526	0.3436661406627495
0.5757575606060606	0.35653672487627464
0.5858585686868687	0.3695726899416981
0.5959595767676769	0.3827691110675454
0.6060605848484849	0.396121192666065
0.616161592929293	0.4096242686624345
0.626262601010101	0.4232738021682498
0.6363636090909092	0.4370653846105288
0.6464646171717172	0.450994734426495
0.6565656252525253	0.46505769536084246
0.6666666333333334	0.47925023447111115
0.6767676414141415	0.49356843987507926
0.6868686494949495	0.5080085182978813
0.6969696575757576	0.5225667924612537
0.7070706656565657	0.5372396983520784
0.7171716737373738	0.5520237824024058
0.7272726818181818	0.5669156986084708
0.73737368989899	0.5819122056122265
0.747474697979798	0.5970101637656213
0.7575757060606061	0.612206532194271
0.7676767141414143	0.6274983658750941
0.7777777222222223	0.6428828127397941
0.7878787303030304	0.6583571108141671
0.7979797383838384	0.673918585401379
0.8080807464646466	0.689564646315998
0.8181817545454546	0.705292785165558
0.8282827626262627	0.7211005727435228
0.8383837707070708	0.7369856563580677
0.8484847787878789	0.7529457573971898
0.8585857868686869	0.768978668833744
0.8686867949494951	0.7850822528503622
0.8787878030303031	0.8012544385252083
0.8888888111111112	0.8174932195871991
0.8989898191919192	0.8337966522404846
0.9090908272727274	0.8501628530575713
0.9191918353535354	0.866589997024497
0.9292928434343435	0.8830763151476594
0.9393938515151516	0.8996200933898664
0.9494948595959597	0.9162196699857376
0.9595958676767677	0.9328734340818976
0.9696968757575758	0.9495798239375773
0.979797883838384	0.9663373252644384
0.989898891919192	0.9831444696268028
0.9999999	0.9999998328977773
