T/T_c	Y(T)
1e-07	0.0
0.010101108080808082	0.008926326303630105
0.020202116161616164	0.01785263751713435
0.030303124242424245	0.02677921048231092
0.04040413232323233	0.035706359404626575
0.050505140404040416	0.04463452433653418
0.06060614848484849	0.05356427161918925
0.07070715656565658	0.06249629439304458
0.08080816464646466	0.07143141341845109
0.09090917272727274	0.08037057828481528
0.10101018080808083	0.08931486892762137
0.1111111888888889	0.09826549756481587
0.12121219696969698	0.10722381088056543
0.13131320505050506	0.11619129194154673
0.14141421313131317	0.12516956067303725
0.15151522121212124	0.1341603718454602
0.16161622929292932	0.14316560783500046
0.1717172373737374	0.15218726642624977
0.18181824545454547	0.16122744105731593
0.19191925353535358	0.17028829545613106
0.20202026161616166	0.1793720329314322
0.21212126969696973	0.18848086239589518
0.2222222777777778	0.19761696317240424
0.2323232858585859	0.20678245063713097
0.24242429393939396	0.21597934446205586
0.25252530202020207	0.22520954083918052
0.2626263101010101	0.23447478935578606
0.2727273181818182	0.24377667630942113
0.28282832626262633	0.25311661048257544
0.2929293343434344	0.2624958178308283
0.3030303424242425	0.271915337887747
0.31313135050505053	0.28137602535370243
0.32323235858585864	0.29087855480755576
0.33333336666666674	0.3004234280900135
0.3434343747474748	0.31001098382546166
0.3535353828282829	0.31964140847005335
0.36363639090909095	0.32931474666223803
0.37373739898989905	0.3390309169598564
0.38383840707070715	0.34878972080110043
0.3939394151515152	0.3585908567181617
0.4040404232323233	0.368433931990406
0.41414143131313136	0.37831847416313985
0.42424243939393946	0.38824394192525874
0.43434344747474757	0.39820973526738995
0.4444444555555556	0.4082152049004729
0.4545454636363637	0.4182596608936422
0.46464647171717177	0.4283423805134406
0.4747474797979799	0.4384626154142168
0.4848484878787879	0.44861959795352596
0.49494949595959603	0.45881254694667173
0.5050505040404041	0.4690406727265061
0.5151515121212121	0.4793031816143625
0.5252525202020202	0.48959927984048957
0.5353535282828283	0.4999281769591866
0.5454545363636364	0.5102890888030818
0.5555555444444444	0.5206812400204434
0.5656565525252526	0.5311038662361388
0.5757575606060606	0.5415562158744267
0.5858585686868687	0.5520375516801386
0.5959595767676769	0.5625471519702648
0.6060605848484849	0.5730843116469623
0.616161592929293	0.5836483429995325
0.626262601010101	0.5942385763206969
0.6363636090909092	0.6048543603588468
0.6464646171717172	0.6154950626302077
0.6565656252525253	0.6261600696040361
0.6666666333333334	0.6368487867869239
0.6767676414141415	0.6475606388024471
0.6868686494949495	0.6582950696421631
0.6969696575757576	0.6690515392322619
0.7070706656565657	0.6798295308492481
0.7171716737373738	0.6906285426606495
0.7272726818181818	0.7014480916862514
0.73737368989899	0.7122877125862671
0.747474697979798	0.7231469572890805
0.7575757060606061	0.7340253946106493
0.7676767141414143	0.7449226098513824
0.7777777222222223	0.7558382043769271
0.7878787303030304	0.7667717951990589
0.7979797383838384	0.7777230145461599
0.8080807464646466	0.7886915094283078
0.8181817545454546	0.7996769412132538
0.8282827626262627	0.8106789851875824
0.8383837707070708	0.8216973054049144
0.8484847787878789	0.8327316779167178
0.8585857868686869	0.8437817430478868
0.8686867949494951	0.8548472522939026
0.8787878030303031	0.8659279442712675
0.8888888111111112	0.877023569049338
0.8989898191919192	0.8881338877691519
0.9090908272727274	0.8992586722695587
0.9191918353535354	0.9103977047868288
0.9292928434343435	0.9215507772695194
0.9393938515151516	0.9327176916957264
0.9494948595959597	0.9438982590756684
0.9595958676767677	0.9550922994561566
0.9696968757575758	0.9662996415423204
0.979797883838384	0.9775201223907173
0.989898891919192	0.9887535871146237
0.9999999	0.9999998885985173
