T/Tc	Delta/kBTc
1e-07	2.0311778457290477
0.010101108080808082	2.0311778314106808
0.020202116161616164	2.031177618714587
0.030303124242424245	2.0311766991921405
0.04040413232323233	2.0311742130072656
0.050505140404040416	2.0311689596752256
0.06060614848484849	2.0311593754650374
0.07070715656565658	2.031143530397407
0.08080816464646466	2.031119108261202
0.09090917272727274	2.0310833910370873
0.10101018080808083	2.0310332303684113
0.1111111888888889	2.0309650121716145
0.12121219696969698	2.0308746083294382
0.13131320505050506	2.0307573149441476
0.14141421313131317	2.030607779978171
0.15151522121212124	2.0304199279730692
0.16161622929292932	2.0301868923262263
0.1717172373737374	2.0299009661556164
0.18181824545454547	2.0295535803243543
0.19191925353535358	2.0291353132119245
0.20202026161616166	2.0286359324268575
0.21212126969696973	2.028044464925318
0.2222222777777778	2.027349289463965
0.2323232858585859	2.026538244084424
0.24242429393939396	2.0255987412198695
0.25252530202020207	2.0245178837164484
0.2626263101010101	2.023282576239956
0.2727273181818182	2.0218796277909217
0.28282832626262633	2.020295843330216
0.2929293343434344	2.018518100478648
0.3030303424242425	2.0165334147334244
0.31313135050505053	2.014328989297006
0.32323235858585864	2.011892252635805
0.33333336666666674	2.0092108840154124
0.3434343747474748	2.006272828335777
0.3535353828282829	2.0030663016055676
0.36363639090909095	1.999579788338907
0.37373739898989905	1.99580203210969
0.38383840707070715	1.991722020384831
0.3939394151515152	1.9873289646310666
0.4040404232323233	1.9826122765539702
0.41414143131313136	1.9775615411925795
0.42424243939393946	1.972166487463242
0.43434344747474757	1.9664169566257779
0.4444444555555556	1.9603028690346997
0.4545454636363637	1.9538141894387864
0.46464647171717177	1.9469408910033041
0.4747474797979799	1.939672918151008
0.4848484878787879	1.9320001482351563
0.49494949595959603	1.9239123520278265
0.5050505040404041	1.9153991528869072
0.5151515121212121	1.9064499844704696
0.5252525202020202	1.897054046776971
0.5353535282828283	1.8872002602407327
0.5454545363636364	1.8768772175688104
0.5555555444444444	1.8660731329311906
0.5656565525252526	1.8547757880620561
0.5757575606060606	1.842972474755083
0.5858585686868687	1.8306499331552195
0.5959595767676769	1.81779428515609
0.6060605848484849	1.8043909621028733
0.616161592929293	1.7904246258719023
0.626262601010101	1.7758790822445991
0.6363636090909092	1.760737185309796
0.6464646171717172	1.7449807314062669
0.6565656252525253	1.7285903408479846
0.6666666333333334	1.7115453253457975
0.6767676414141415	1.693823538633475
0.6868686494949495	1.6754012073088842
0.6969696575757576	1.6562527382766499
0.7070706656565657	1.6363504984023283
0.7171716737373738	1.6156645610063518
0.7272726818181818	1.5941624125804932
0.73737368989899	1.571808611514437
0.747474697979798	1.5485643885619214
0.7575757060606061	1.524387176093928
0.7676767141414143	1.4992300496592954
0.7777777222222223	1.473041060684316
0.7878787303030304	1.4457624328393064
0.7979797383838384	1.417329586019925
0.8080807464646466	1.3876699400549684
0.8181817545454546	1.3567014337096008
0.8282827626262627	1.3243306707743356
0.8383837707070708	1.2904505716351051
0.8484847787878789	1.2549373568639208
0.8585857868686869	1.217646615149829
0.8686867949494951	1.1784080888094512
0.8787878030303031	1.1370186238527245
0.8888888111111112	1.0932324245706495
0.8989898191919192	1.0467472307485197
0.9090908272727274	0.9971841097262915
0.9191918353535354	0.9440568295158566
0.9292928434343435	0.8867233648910775
0.9393938515151516	0.8243048261695367
0.9494948595959597	0.7555401805247866
0.9595958676767677	0.6785007542310829
0.9696968757575758	0.5899515675826889
0.979797883838384	0.48360858052895656
0.989898891919192	0.34331345829212523
0.9999999	0.0010844388406835864
