T/Tc	Delta/kBTc
1e-07	1.742436059226339
0.010101108080808082	1.742435037436293
0.020202116161616164	1.7424278852686212
0.030303124242424245	1.742408470003114
0.04040413232323233	1.7423706569258772
0.050505140404040416	1.7423083090199016
0.06060614848484849	1.742215277610816
0.07070715656565658	1.7420854009811961
0.08080816464646466	1.7419124983138428
0.09090917272727274	1.7416903613256383
0.10101018080808083	1.7414127469107676
0.1111111888888889	1.7410733675818193
0.12121219696969698	1.7406658806464468
0.13131320505050506	1.740183876321469
0.14141421313131317	1.7396208670358988
0.15151522121212124	1.7389702715401183
0.16161622929292932	1.73822540981524
0.1717172373737374	1.7373794872225252
0.18181824545454547	1.736425595282151
0.19191925353535358	1.7353567081424623
0.20202026161616166	1.7341656872529525
0.21212126969696973	1.7328452902518725
0.2222222777777778	1.7313881841499508
0.2323232858585859	1.729786961894494
0.24242429393939396	1.7280341613272063
0.25252530202020207	1.7261222853169076
0.2626263101010101	1.724043821984815
0.2727273181818182	1.7217912641039546
0.28282832626262633	1.719357126772362
0.2929293343434344	1.7167339627907798
0.3030303424242425	1.7139143753727506
0.31313135050505053	1.7108910277015084
0.32323235858585864	1.707656649578084
0.33333336666666674	1.7042040409982229
0.3434343747474748	1.7005260721582842
0.3535353828282829	1.696615682373186
0.36363639090909095	1.6924658730284996
0.37373739898989905	1.6880697021344995
0.38383840707070715	1.683420273771841
0.3939394151515152	1.6785107267012849
0.4040404232323233	1.6733342209867486
0.41414143131313136	1.667883922993475
0.42424243939393946	1.6621529889047288
0.43434344747474757	1.6561345468704407
0.4444444555555556	1.6498216778686854
0.4545454636363637	1.643207395332946
0.46464647171717177	1.6362846235649129
0.4747474797979799	1.6290461749202556
0.4848484878787879	1.621484725727247
0.49494949595959603	1.6135927908647882
0.5050505040404041	1.605362696888687
0.5151515121212121	1.5967865535806676
0.5252525202020202	1.587856223735902
0.5353535282828283	1.5785632909847938
0.5454545363636364	1.568899025401693
0.5555555444444444	1.5588543466043885
0.5656565525252526	1.5484197840026375
0.5757575606060606	1.5375854337970007
0.5858585686868687	1.5263409122602565
0.5959595767676769	1.51467530476445
0.6060605848484849	1.5025771099212344
0.616161592929293	1.4900341781008228
0.626262601010101	1.4770336434687408
0.6363636090909092	1.4635618485288473
0.6464646171717172	1.4496042599798018
0.6565656252525253	1.4351453744698457
0.6666666333333334	1.4201686125705328
0.6767676414141415	1.4046561989530413
0.6868686494949495	1.388589026354412
0.6969696575757576	1.3719465003896296
0.7070706656565657	1.354706361665906
0.7171716737373738	1.3368444808359132
0.7272726818181818	1.318334621198404
0.73737368989899	1.299148162171873
0.747474697979798	1.279253775331514
0.7575757060606061	1.2586170423920713
0.7676767141414143	1.2372000017913682
0.7777777222222223	1.2149606066357572
0.7878787303030304	1.1918520715970433
0.7979797383838384	1.1678220794506726
0.8080807464646466	1.1428118082459615
0.8181817545454546	1.1167547265546742
0.8282827626262627	1.0895750851860926
0.8383837707070708	1.0611860995094693
0.8484847787878789	1.0314870254187398
0.8585857868686869	1.0003608956501848
0.8686867949494951	0.9676693357687784
0.8787878030303031	0.9332472910686518
0.8888888111111112	0.8968949940405859
0.8989898191919192	0.8583667020945752
0.9090908272727274	0.8173542300385713
0.9191918353535354	0.7734619877950222
0.9292928434343435	0.726167448799996
0.9393938515151516	0.674755050280931
0.9494948595959597	0.6181977224661687
0.9595958676767677	0.5549240314704568
0.9696968757575758	0.4822971776525563
0.979797883838384	0.39519304607661815
0.989898891919192	0.28043021459097417
0.9999999	0.0008854406082623461
