T/T_c	C_s/C_n
1e-07	0.0
0.010101108080808082	0.08494961942207173
0.020202116161616164	0.13395710469617236
0.030303124242424245	0.17456460843111546
0.04040413232323233	0.21043830092937962
0.050505140404040416	0.24311213042223676
0.06060614848484849	0.2734174220068929
0.07070715656565658	0.30187088982955024
0.08080816464646466	0.3288228948703144
0.09090917272727274	0.35452591138696493
0.10101018080808083	0.37917031915794897
0.1111111888888889	0.4029048461308044
0.12121219696969698	0.4258490447551457
0.13131320505050506	0.4481013022052337
0.14141421313131317	0.46974417509837524
0.15151522121212124	0.4908480274269972
0.16161622929292932	0.5114735398422818
0.1717172373737374	0.5316734419348446
0.18181824545454547	0.5514937102346062
0.19191925353535358	0.570974403553753
0.20202026161616166	0.5901502650620207
0.21212126969696973	0.6090511860429109
0.2222222777777778	0.627702597774576
0.2323232858585859	0.6461258345707779
0.24242429393939396	0.6643384915721834
0.25252530202020207	0.6823547880339367
0.2626263101010101	0.7001859366842306
0.2727273181818182	0.7178405143699731
0.28282832626262633	0.735324826747005
0.2929293343434344	0.7526432593871543
0.3030303424242425	0.7697986081704905
0.31313135050505053	0.7867923838984815
0.32323235858585864	0.8036250872577186
0.33333336666666674	0.8202964523729641
0.3434343747474748	0.836805658535889
0.3535353828282829	0.8531515109140435
0.36363639090909095	0.8693325919757848
0.37373739898989905	0.8853473859331523
0.38383840707070715	0.9011943788879202
0.3939394151515152	0.9168721374606528
0.4040404232323233	0.9323793687750734
0.41414143131313136	0.9477149645030235
0.42424243939393946	0.962878031434475
0.43434344747474757	0.9778679109666343
0.4444444555555556	0.9926841895030611
0.4545454636363637	1.0073267015533414
0.46464647171717177	1.0217955272873642
0.4747474797979799	1.036090984865001
0.4848484878787879	1.0502136213463424
0.49494949595959603	1.0641641993265982
0.5050505040404041	1.077943682290294
0.5151515121212121	1.0915532203024843
0.5252525202020202	1.1049941338233078
0.5353535282828283	1.1182678980162246
0.5454545363636364	1.1313761271809828
0.5555555444444444	1.1443205595870658
0.5656565525252526	1.157103042917692
0.5757575606060606	1.169725520431676
0.5858585686868687	1.182190017843225
0.5959595767676769	1.1944986312707233
0.6060605848484849	1.206653515610662
0.616161592929293	1.2186568742261743
0.626262601010101	1.230510949191843
0.6363636090909092	1.2422180124403037
0.6464646171717172	1.2537803577040945
0.6565656252525253	1.2652002931761552
0.6666666333333334	1.276480134983678
0.6767676414141415	1.287622200843087
0.6868686494949495	1.298628805504276
0.6969696575757576	1.3095022551598317
0.7070706656565657	1.3202448437248446
0.7171716737373738	1.3308588488814506
0.7272726818181818	1.341346528834591
0.73737368989899	1.3517101195557977
0.747474697979798	1.3619518320778168
0.7575757060606061	1.372073850453213
0.7676767141414143	1.382078329935899
0.7777777222222223	1.391967395355525
0.7878787303030304	1.4017431398726476
0.7979797383838384	1.4114076237350626
0.8080807464646466	1.420962873725875
0.8181817545454546	1.4304108820967465
0.8282827626262627	1.4397536063794347
0.8383837707070708	1.4489929688390124
0.8484847787878789	1.4581308562291406
0.8585857868686869	1.467169119803129
0.8686867949494951	1.4761095751423967
0.8787878030303031	1.484954002399919
0.8888888111111112	1.493704146321352
0.8989898191919192	1.5023617165128402
0.9090908272727274	1.5109283878355024
0.9191918353535354	1.5194058005766586
0.9292928434343435	1.5277955609928608
0.9393938515151516	1.536099241706152
0.9494948595959597	1.544318382134208
0.9595958676767677	1.552454489018431
0.9696968757575758	1.5605090375092994
0.979797883838384	1.5684834688806977
0.989898891919192	1.5763791967373035
0.9999999	1.5803229178363465
